Configuration,Val_Acc,Ext_Acc,Privacy_Mode,Epsilon,Delta,Latency_ms,FPS,Deployment_Note,Evidence_Note
Source-only CNN-small,97.81,28.3,None,,,,,strong internal benchmark; weak external transfer,manuscript-facing deployment summary
Domain-adapted CNN-small,96.85,58.43,None,,,,,better external utility; no DP,manuscript-facing deployment summary
DA + pseudo-labeling,96.91,64.28,None,,,,,best non-private external utility,manuscript-facing deployment summary
DA + DP-SGD,95.12,62.15,DP-SGD,2.3,1e-5,47.3,21.0,best privacy-aware deployment candidate,manuscript-facing deployment summary
