mode,mean_latency_ms,p95_latency_ms,max_latency_ms,message_drop_rate,task_success_rate,recovery_rate,cpu_percent_mean,memory_mb_mean
M1,19.1193,25.8839,31.2981,0.0,0.9881,0.0119,22.8213,197.0139
M2,28.5686,35.4492,39.6228,0.0,1.0,0.0,26.6559,204.1277
M3,32.5039,39.4332,44.4496,0.0,0.9881,0.0119,24.5688,201.7303
M4,40.4978,46.5223,55.6993,0.0531,0.9459,0.0466,29.8865,208.9432
