condition,mean_alignment_error_ms,full_modality_window_rate,video_available_rate,audio_available_rate,context_available_rate,physiology_available_rate
aligned_nominal,52.6608,0.5072,0.9246,0.9386,0.9643,0.6193
missing_modality_stress,63.193,0.4159,0.8783,0.7603,0.9354,0.4583
