model,val_acc_mean,val_acc_std,val_acc_mean_std,val_acc_ci,val_f1_mean,ece,mce,p_value_vs_cnn_small,cohens_d_vs_cnn_small,effect_size_interpretation
cnn_small,0.3333,0.0064,0.3333+/-0.0064,"[0.3316, 0.3352]",0.125,0.0191,0.0238,,,
cnn_batchnorm,0.3288,0.0228,0.3288+/-0.0228,"[0.3219, 0.3344]",0.1281,0.0563,0.0624,0.14412703481601533,-0.1989,negligible
hybrid_soft_voting,0.7548,0.0493,0.7548+/-0.0493,"[0.7413, 0.7681]",0.741,0.2635,0.7336,7.466851425618727e-10,8.6727,large
rbf_svm,0.7038,0.0501,0.7038+/-0.0501,"[0.6900, 0.7176]",0.6867,0.0748,0.138,7.466851425618727e-10,7.5323,large
extra_trees,0.6931,0.0562,0.6931+/-0.0562,"[0.6780, 0.7086]",0.6681,0.1716,0.2845,7.436479011307457e-10,6.3299,large
logistic_regression,0.7802,0.052,0.7802+/-0.0520,"[0.7662, 0.7943]",0.7678,0.0768,0.175,7.461781631594519e-10,8.6528,large
random_forest,0.6819,0.0599,0.6819+/-0.0599,"[0.6661, 0.6984]",0.6565,0.1872,0.2787,7.455026716034453e-10,5.7884,large
