model,val_accuracy_mean,val_accuracy_std,val_accuracy_ci_low,val_accuracy_ci_high,val_macro_f1_mean,val_macro_f1_std,ece,mce
logistic_regression,0.7802,0.052,0.7662,0.7943,0.7678,0.0561,0.0768,0.175
rbf_svm,0.7038,0.0501,0.69,0.7176,0.6867,0.0531,0.0748,0.138
random_forest,0.6819,0.0599,0.6661,0.6984,0.6565,0.0699,0.1872,0.2787
extra_trees,0.6931,0.0562,0.678,0.7086,0.6681,0.0622,0.1716,0.2845
cnn_small,0.3333,0.0064,0.3316,0.3352,0.125,0.0018,0.0191,0.0238
cnn_batchnorm,0.3288,0.0228,0.3219,0.3344,0.1281,0.0151,0.0563,0.0624
hybrid_soft_voting,0.7548,0.0493,0.7413,0.7681,0.741,0.0532,0.2635,0.7336
cnn_small_overconfident_baseline,,,,,,,0.1275,0.2945
cnn_small_underconfident_baseline,,,,,,,0.0577,0.0715
