comparison_group,train_dataset_name,test_dataset_name,evaluation_role,evaluation_stage,dataset_name,dataset_root,labels_csv,target_label_set,num_samples,accuracy,macro_f1,weighted_f1,unweighted_recall,epochs,model_name,model_artifact
ravdess_train_then_external_public_test,RAVDESS,RAVDESS,held_out_validation,local_validation,RAVDESS,C:\Users\masim\OneDrive\Desktop\Social Robot\data\public\RAVDESS,C:\Users\masim\OneDrive\Desktop\Social Robot\data\public\RAVDESS\labels_broad4_angry.csv,broad4_angry,456,0.9539,0.9531,0.9539,0.9513,1000.0,simple_emotion_cnn,C:\Users\masim\OneDrive\Desktop\Social Robot\outputs\models\paper1\ravdess_train1000_cremad_external\best_model.pt
ravdess_train_then_external_public_test,RAVDESS,CREMA-D,external_public_test,public_test,CREMA-D,C:\Users\masim\OneDrive\Desktop\Social Robot\data\public\CREMA-D,C:\Users\masim\OneDrive\Desktop\Social Robot\data\public\CREMA-D\labels_broad4_angry.csv,broad4_angry,5386,0.2778,0.1544,0.1594,0.2643,,simple_emotion_cnn,C:\Users\masim\OneDrive\Desktop\Social Robot\outputs\models\paper1\ravdess_train1000_cremad_external\best_model.pt
