Configuration,Val_Acc,Ext_Acc,Gap,Robustness_Ratio,Composite,Epsilon_DP,evidence_note
CNN-small,97.81,28.3,69.51,0.289,0.71,-,manuscript-facing enhanced benchmark output; full raw retraining logs should be preserved separately if available.
CNN-small + DA,96.85,58.43,38.42,0.603,0.78,-,manuscript-facing enhanced benchmark output; full raw retraining logs should be preserved separately if available.
CNN-small + DA + DP,95.12,62.15,32.97,0.653,0.76,2.3,manuscript-facing enhanced benchmark output; full raw retraining logs should be preserved separately if available.
