class_label,recall,precision,auc
negative,1.0,0.6830087306917394,0.8874141618868034
negative,1.0,0.6834677419354839,0.8874141618868034
negative,1.0,0.683927370544721,0.8874141618868034
negative,0.9990167158308751,0.6837146702557201,0.8874141618868034
negative,0.9990167158308751,0.6841750841750842,0.8874141618868034
negative,0.9990167158308751,0.6846361185983828,0.8874141618868034
negative,0.9990167158308751,0.6850977747808497,0.8874141618868034
negative,0.9980334316617503,0.684885290148448,0.8874141618868034
negative,0.9980334316617503,0.6853477380148548,0.8874141618868034
negative,0.9980334316617503,0.6858108108108109,0.8874141618868034
negative,0.9980334316617503,0.6862745098039216,0.8874141618868034
negative,0.9980334316617503,0.6867388362652233,0.8874141618868034
negative,0.9970501474926253,0.6865267433987813,0.8874141618868034
negative,0.9970501474926253,0.6869918699186992,0.8874141618868034
negative,0.9970501474926253,0.6874576271186441,0.8874141618868034
negative,0.9970501474926253,0.6879240162822252,0.8874141618868034
negative,0.9970501474926253,0.6883910386965377,0.8874141618868034
negative,0.9960668633235005,0.6881793478260869,0.8874141618868034
negative,0.9960668633235005,0.6886471787899389,0.8874141618868034
negative,0.9950835791543756,0.6884353741496598,0.8874141618868034
negative,0.9950835791543756,0.6889040163376446,0.8874141618868034
negative,0.9941002949852508,0.6886920980926431,0.8874141618868034
negative,0.9931170108161259,0.6884798909338786,0.8874141618868034
negative,0.9931170108161259,0.6889495225102319,0.8874141618868034
negative,0.9931170108161259,0.689419795221843,0.8874141618868034
negative,0.9931170108161259,0.6898907103825137,0.8874141618868034
negative,0.992133726647001,0.6896787423103212,0.8874141618868034
negative,0.992133726647001,0.6901504787961696,0.8874141618868034
negative,0.992133726647001,0.6906228610540726,0.8874141618868034
negative,0.992133726647001,0.6910958904109589,0.8874141618868034
negative,0.992133726647001,0.6915695681973955,0.8874141618868034
negative,0.992133726647001,0.6920438957475995,0.8874141618868034
negative,0.992133726647001,0.6925188743994509,0.8874141618868034
negative,0.992133726647001,0.6929945054945055,0.8874141618868034
negative,0.992133726647001,0.6934707903780069,0.8874141618868034
negative,0.992133726647001,0.6939477303988996,0.8874141618868034
negative,0.992133726647001,0.6944253269098417,0.8874141618868034
negative,0.9911504424778761,0.6942148760330579,0.8874141618868034
negative,0.9911504424778761,0.6946933149552033,0.8874141618868034
negative,0.9901671583087512,0.6944827586206896,0.8874141618868034
negative,0.9891838741396264,0.694271911663216,0.8874141618868034
negative,0.9891838741396264,0.6947513812154696,0.8874141618868034
negative,0.9891838741396264,0.6952315134761575,0.8874141618868034
negative,0.9891838741396264,0.6957123098201936,0.8874141618868034
negative,0.9882005899705014,0.6955017301038062,0.8874141618868034
negative,0.9872173058013766,0.6952908587257618,0.8874141618868034
negative,0.9872173058013766,0.6957726957726957,0.8874141618868034
negative,0.9872173058013766,0.6962552011095701,0.8874141618868034
negative,0.9872173058013766,0.6967383761276891,0.8874141618868034
negative,0.9872173058013766,0.6972222222222222,0.8874141618868034
negative,0.9872173058013766,0.6977067407922168,0.8874141618868034
negative,0.9872173058013766,0.6981919332406119,0.8874141618868034
negative,0.9862340216322517,0.697981906750174,0.8874141618868034
negative,0.9852507374631269,0.6977715877437326,0.8874141618868034
negative,0.9852507374631269,0.6982578397212543,0.8874141618868034
negative,0.9852507374631269,0.698744769874477,0.8874141618868034
negative,0.9852507374631269,0.6992323796231682,0.8874141618868034
negative,0.9852507374631269,0.6997206703910615,0.8874141618868034
negative,0.9852507374631269,0.70020964360587,0.8874141618868034
negative,0.9852507374631269,0.7006993006993008,0.8874141618868034
negative,0.9852507374631269,0.7011896431070679,0.8874141618868034
negative,0.9852507374631269,0.7016806722689075,0.8874141618868034
negative,0.9852507374631269,0.7021723896285914,0.8874141618868034
negative,0.9852507374631269,0.7026647966339411,0.8874141618868034
negative,0.9852507374631269,0.7031578947368421,0.8874141618868034
negative,0.984267453294002,0.7029494382022472,0.8874141618868034
negative,0.983284169124877,0.7027406886858749,0.8874141618868034
negative,0.983284169124877,0.7032348804500703,0.8874141618868034
negative,0.983284169124877,0.7037297677691766,0.8874141618868034
negative,0.983284169124877,0.704225352112676,0.8874141618868034
negative,0.983284169124877,0.704721634954193,0.8874141618868034
negative,0.9823008849557522,0.7045133991537377,0.8874141618868034
negative,0.9823008849557522,0.7050105857445307,0.8874141618868034
negative,0.9813176007866273,0.7048022598870056,0.8874141618868034
negative,0.9813176007866273,0.7053003533568905,0.8874141618868034
negative,0.9813176007866273,0.7057991513437057,0.8874141618868034
negative,0.9803343166175025,0.7055909412597311,0.8874141618868034
negative,0.9803343166175025,0.7060906515580736,0.8874141618868034
negative,0.9793510324483776,0.7058823529411765,0.8874141618868034
negative,0.9793510324483776,0.7063829787234043,0.8874141618868034
negative,0.9783677482792527,0.7061745919091554,0.8874141618868034
negative,0.9783677482792527,0.7066761363636364,0.8874141618868034
negative,0.9783677482792527,0.7071783937455579,0.8874141618868034
negative,0.9773844641101278,0.7069701280227596,0.8874141618868034
negative,0.9773844641101278,0.7074733096085409,0.8874141618868034
negative,0.9773844641101278,0.707977207977208,0.8874141618868034
negative,0.976401179941003,0.7077690662865289,0.8874141618868034
negative,0.976401179941003,0.7082738944365192,0.8874141618868034
negative,0.9754178957718781,0.7080656673804425,0.8874141618868034
negative,0.9754178957718781,0.7085714285714285,0.8874141618868034
