metric,value,evidence_level
accuracy,0.835,implemented_real_baseline
macro_precision,0.7916,implemented_real_baseline
macro_recall,0.8668,implemented_real_baseline
macro_f1,0.8155,implemented_real_baseline
ece,0.2001,implemented_real_baseline
sample_count,103.0,implemented_real_baseline
