label,precision,recall,f1-score,support
negative,0.8409356725146199,0.7069813176007866,0.7681623931623932,1017.0
neutral,0.4127906976744186,0.6513761467889908,0.505338078291815,218.0
positive,0.4689655172413793,0.5354330708661418,0.5,254.0
accuracy,0.6695768972464742,0.6695768972464742,0.6695768972464742,0.6695768972464742
macro avg,0.5742306291434726,0.631263511751973,0.5911668238180694,1489.0
weighted avg,0.7147999949091349,0.6695768972464742,0.68393878771912,1489.0
