class_label,fpr,tpr,auc
negative,0.0,0.0,0.7948540072996351
negative,0.00211864406779661,0.0,0.7948540072996351
negative,0.00211864406779661,0.06981317600786627,0.7948540072996351
negative,0.00423728813559322,0.06981317600786627,0.7948540072996351
negative,0.00423728813559322,0.07374631268436578,0.7948540072996351
negative,0.006355932203389831,0.07374631268436578,0.7948540072996351
negative,0.006355932203389831,0.09144542772861357,0.7948540072996351
negative,0.00847457627118644,0.09144542772861357,0.7948540072996351
negative,0.00847457627118644,0.1160275319567355,0.7948540072996351
negative,0.01059322033898305,0.1160275319567355,0.7948540072996351
negative,0.01059322033898305,0.13667649950835792,0.7948540072996351
negative,0.012711864406779662,0.13667649950835792,0.7948540072996351
negative,0.012711864406779662,0.16027531956735497,0.7948540072996351
negative,0.014830508474576272,0.16027531956735497,0.7948540072996351
negative,0.014830508474576272,0.18387413962635202,0.7948540072996351
negative,0.01694915254237288,0.18387413962635202,0.7948540072996351
negative,0.01694915254237288,0.2055063913470993,0.7948540072996351
negative,0.019067796610169493,0.2055063913470993,0.7948540072996351
negative,0.019067796610169493,0.23697148475909538,0.7948540072996351
negative,0.0211864406779661,0.23697148475909538,0.7948540072996351
negative,0.0211864406779661,0.25172074729596855,0.7948540072996351
negative,0.023305084745762712,0.25172074729596855,0.7948540072996351
negative,0.023305084745762712,0.2576204523107178,0.7948540072996351
negative,0.025423728813559324,0.2576204523107178,0.7948540072996351
negative,0.025423728813559324,0.2586037364798427,0.7948540072996351
negative,0.02754237288135593,0.2586037364798427,0.7948540072996351
negative,0.02754237288135593,0.2723697148475909,0.7948540072996351
negative,0.03177966101694915,0.2723697148475909,0.7948540072996351
negative,0.03177966101694915,0.2782694198623402,0.7948540072996351
negative,0.03389830508474576,0.2782694198623402,0.7948540072996351
negative,0.03389830508474576,0.28023598820059,0.7948540072996351
negative,0.036016949152542374,0.28023598820059,0.7948540072996351
negative,0.036016949152542374,0.3087512291052114,0.7948540072996351
negative,0.038135593220338986,0.3087512291052114,0.7948540072996351
negative,0.038135593220338986,0.32055063913470994,0.7948540072996351
negative,0.04025423728813559,0.32055063913470994,0.7948540072996351
negative,0.04025423728813559,0.32645034414945917,0.7948540072996351
negative,0.0423728813559322,0.32645034414945917,0.7948540072996351
negative,0.0423728813559322,0.3352999016715831,0.7948540072996351
negative,0.04449152542372881,0.3352999016715831,0.7948540072996351
negative,0.04449152542372881,0.34316617502458213,0.7948540072996351
negative,0.046610169491525424,0.34316617502458213,0.7948540072996351
negative,0.046610169491525424,0.37364798426745327,0.7948540072996351
negative,0.048728813559322036,0.37364798426745327,0.7948540072996351
negative,0.048728813559322036,0.3824975417895772,0.7948540072996351
negative,0.05084745762711865,0.3824975417895772,0.7948540072996351
negative,0.05084745762711865,0.3952802359882006,0.7948540072996351
negative,0.05296610169491525,0.3952802359882006,0.7948540072996351
negative,0.05296610169491525,0.4051130776794494,0.7948540072996351
negative,0.05508474576271186,0.4051130776794494,0.7948540072996351
negative,0.05508474576271186,0.41494591937069814,0.7948540072996351
negative,0.059322033898305086,0.41494591937069814,0.7948540072996351
negative,0.059322033898305086,0.41887905604719766,0.7948540072996351
negative,0.0614406779661017,0.41887905604719766,0.7948540072996351
negative,0.0614406779661017,0.4326450344149459,0.7948540072996351
negative,0.0635593220338983,0.4326450344149459,0.7948540072996351
negative,0.0635593220338983,0.43756145526057033,0.7948540072996351
negative,0.06567796610169492,0.43756145526057033,0.7948540072996351
negative,0.06567796610169492,0.4473942969518191,0.7948540072996351
negative,0.06779661016949153,0.4473942969518191,0.7948540072996351
negative,0.06779661016949153,0.44936086529006886,0.7948540072996351
negative,0.06991525423728813,0.44936086529006886,0.7948540072996351
negative,0.06991525423728813,0.4503441494591937,0.7948540072996351
negative,0.07203389830508475,0.4503441494591937,0.7948540072996351
negative,0.07203389830508475,0.4552605703048181,0.7948540072996351
negative,0.07415254237288135,0.4552605703048181,0.7948540072996351
negative,0.07415254237288135,0.45624385447394294,0.7948540072996351
negative,0.07627118644067797,0.45624385447394294,0.7948540072996351
negative,0.07627118644067797,0.45722713864306785,0.7948540072996351
negative,0.08050847457627118,0.45722713864306785,0.7948540072996351
negative,0.08050847457627118,0.46214355948869223,0.7948540072996351
negative,0.0826271186440678,0.46214355948869223,0.7948540072996351
negative,0.0826271186440678,0.464110127826942,0.7948540072996351
negative,0.0847457627118644,0.464110127826942,0.7948540072996351
negative,0.0847457627118644,0.46607669616519176,0.7948540072996351
negative,0.08686440677966102,0.46607669616519176,0.7948540072996351
negative,0.08686440677966102,0.4749262536873156,0.7948540072996351
negative,0.08898305084745763,0.4749262536873156,0.7948540072996351
negative,0.08898305084745763,0.4916420845624385,0.7948540072996351
negative,0.09322033898305085,0.4916420845624385,0.7948540072996351
negative,0.09322033898305085,0.4995083579154376,0.7948540072996351
negative,0.09745762711864407,0.4995083579154376,0.7948540072996351
negative,0.09745762711864407,0.5014749262536873,0.7948540072996351
negative,0.1016949152542373,0.5014749262536873,0.7948540072996351
negative,0.1016949152542373,0.504424778761062,0.7948540072996351
negative,0.1038135593220339,0.504424778761062,0.7948540072996351
negative,0.1038135593220339,0.5054080629301868,0.7948540072996351
negative,0.11228813559322035,0.5054080629301868,0.7948540072996351
negative,0.11228813559322035,0.5093411996066863,0.7948540072996351
negative,0.11440677966101695,0.5093411996066863,0.7948540072996351
negative,0.11440677966101695,0.5132743362831859,0.7948540072996351
negative,0.11652542372881355,0.5132743362831859,0.7948540072996351
negative,0.11652542372881355,0.5250737463126843,0.7948540072996351
negative,0.11864406779661017,0.5250737463126843,0.7948540072996351
negative,0.11864406779661017,0.5309734513274337,0.7948540072996351
negative,0.1228813559322034,0.5309734513274337,0.7948540072996351
negative,0.1228813559322034,0.5319567354965585,0.7948540072996351
negative,0.125,0.5319567354965585,0.7948540072996351
negative,0.125,0.5339233038348082,0.7948540072996351
negative,0.1271186440677966,0.5339233038348082,0.7948540072996351
negative,0.1271186440677966,0.5349065880039331,0.7948540072996351
negative,0.13135593220338984,0.5349065880039331,0.7948540072996351
negative,0.13135593220338984,0.5457227138643068,0.7948540072996351
negative,0.13347457627118645,0.5457227138643068,0.7948540072996351
negative,0.13347457627118645,0.5624385447394297,0.7948540072996351
negative,0.13559322033898305,0.5624385447394297,0.7948540072996351
negative,0.13559322033898305,0.5742379547689282,0.7948540072996351
negative,0.13983050847457626,0.5742379547689282,0.7948540072996351
