recall,precision,auc
1.0,0.07083333333333333,0.9552302685780196
1.0,0.08333333333333333,0.9552302685780196
1.0,0.08374384236453201,0.9552302685780196
1.0,0.08415841584158416,0.9552302685780196
1.0,0.0845771144278607,0.9552302685780196
1.0,0.085,0.9552302685780196
1.0,0.08542713567839195,0.9552302685780196
1.0,0.08585858585858586,0.9552302685780196
1.0,0.08629441624365482,0.9552302685780196
1.0,0.08673469387755102,0.9552302685780196
1.0,0.08717948717948718,0.9552302685780196
1.0,0.08762886597938144,0.9552302685780196
1.0,0.08808290155440414,0.9552302685780196
1.0,0.08854166666666667,0.9552302685780196
1.0,0.08900523560209424,0.9552302685780196
1.0,0.09042553191489362,0.9552302685780196
1.0,0.09090909090909091,0.9552302685780196
1.0,0.0913978494623656,0.9552302685780196
1.0,0.0918918918918919,0.9552302685780196
1.0,0.09239130434782608,0.9552302685780196
1.0,0.09289617486338798,0.9552302685780196
1.0,0.09340659340659341,0.9552302685780196
1.0,0.09497206703910614,0.9552302685780196
1.0,0.09550561797752809,0.9552302685780196
1.0,0.096045197740113,0.9552302685780196
1.0,0.09659090909090909,0.9552302685780196
1.0,0.09714285714285714,0.9552302685780196
1.0,0.09770114942528736,0.9552302685780196
1.0,0.09826589595375723,0.9552302685780196
1.0,0.09883720930232558,0.9552302685780196
1.0,0.09941520467836257,0.9552302685780196
1.0,0.1,0.9552302685780196
1.0,0.10119047619047619,0.9552302685780196
1.0,0.10240963855421686,0.9552302685780196
1.0,0.10303030303030303,0.9552302685780196
1.0,0.10365853658536585,0.9552302685780196
1.0,0.10429447852760736,0.9552302685780196
1.0,0.10493827160493827,0.9552302685780196
1.0,0.10559006211180125,0.9552302685780196
1.0,0.1069182389937107,0.9552302685780196
1.0,0.10759493670886076,0.9552302685780196
1.0,0.10828025477707007,0.9552302685780196
1.0,0.10897435897435898,0.9552302685780196
1.0,0.10967741935483871,0.9552302685780196
1.0,0.11038961038961038,0.9552302685780196
1.0,0.1111111111111111,0.9552302685780196
1.0,0.1118421052631579,0.9552302685780196
1.0,0.11333333333333333,0.9552302685780196
1.0,0.11409395973154363,0.9552302685780196
1.0,0.11486486486486487,0.9552302685780196
1.0,0.11564625850340136,0.9552302685780196
1.0,0.11643835616438356,0.9552302685780196
1.0,0.11805555555555555,0.9552302685780196
1.0,0.11888111888111888,0.9552302685780196
1.0,0.11971830985915492,0.9552302685780196
1.0,0.12142857142857143,0.9552302685780196
1.0,0.1223021582733813,0.9552302685780196
1.0,0.12318840579710146,0.9552302685780196
1.0,0.12408759124087591,0.9552302685780196
1.0,0.1259259259259259,0.9552302685780196
1.0,0.12686567164179105,0.9552302685780196
1.0,0.12781954887218044,0.9552302685780196
1.0,0.12878787878787878,0.9552302685780196
1.0,0.1297709923664122,0.9552302685780196
1.0,0.13076923076923078,0.9552302685780196
1.0,0.13178294573643412,0.9552302685780196
1.0,0.1328125,0.9552302685780196
1.0,0.13385826771653545,0.9552302685780196
1.0,0.1349206349206349,0.9552302685780196
1.0,0.136,0.9552302685780196
1.0,0.13709677419354838,0.9552302685780196
1.0,0.13821138211382114,0.9552302685780196
1.0,0.13934426229508196,0.9552302685780196
1.0,0.14049586776859505,0.9552302685780196
1.0,0.14166666666666666,0.9552302685780196
1.0,0.14285714285714285,0.9552302685780196
1.0,0.1440677966101695,0.9552302685780196
1.0,0.1452991452991453,0.9552302685780196
1.0,0.14655172413793102,0.9552302685780196
1.0,0.14782608695652175,0.9552302685780196
1.0,0.14912280701754385,0.9552302685780196
1.0,0.1504424778761062,0.9552302685780196
1.0,0.15178571428571427,0.9552302685780196
1.0,0.15315315315315314,0.9552302685780196
1.0,0.15454545454545454,0.9552302685780196
