label,precision,recall,f1-score,support
fear,0.6,1.0,0.75,6.0
happy,0.9375,0.8108108108108109,0.8695652173913043,37.0
neutral,0.75,0.7777777777777778,0.7636363636363637,27.0
sad,0.8787878787878788,0.8787878787878788,0.8787878787878788,33.0
accuracy,0.8349514563106796,0.8349514563106796,0.8349514563106796,0.8349514563106796
macro avg,0.7915719696969697,0.8668441168441169,0.8154973649538867,103.0
weighted avg,0.849878640776699,0.8349514563106796,0.8377873287539813,103.0
