fpr,tpr,auc
0.0,0.0,0.9957794777103667
0.0,0.058823529411764705,0.9957794777103667
0.0,0.7647058823529411,0.9957794777103667
0.004484304932735426,0.7647058823529411,0.9957794777103667
0.004484304932735426,0.8235294117647058,0.9957794777103667
0.008968609865470852,0.8235294117647058,0.9957794777103667
0.008968609865470852,0.8823529411764706,0.9957794777103667
0.02242152466367713,0.8823529411764706,0.9957794777103667
0.02242152466367713,0.9411764705882353,0.9957794777103667
0.03587443946188341,0.9411764705882353,0.9957794777103667
0.03587443946188341,1.0,0.9957794777103667
0.35874439461883406,1.0,0.9957794777103667
0.36771300448430494,1.0,0.9957794777103667
0.37668161434977576,1.0,0.9957794777103667
0.38565022421524664,1.0,0.9957794777103667
0.3991031390134529,1.0,0.9957794777103667
0.4080717488789238,1.0,0.9957794777103667
0.5291479820627802,1.0,0.9957794777103667
0.5381165919282511,1.0,0.9957794777103667
0.5515695067264574,1.0,0.9957794777103667
0.5605381165919282,1.0,0.9957794777103667
0.5695067264573991,1.0,0.9957794777103667
0.57847533632287,1.0,0.9957794777103667
0.5964125560538116,1.0,0.9957794777103667
0.6053811659192825,1.0,0.9957794777103667
0.6367713004484304,1.0,0.9957794777103667
0.6457399103139013,1.0,0.9957794777103667
0.6681614349775785,1.0,0.9957794777103667
0.6860986547085202,1.0,0.9957794777103667
0.726457399103139,1.0,0.9957794777103667
0.7399103139013453,1.0,0.9957794777103667
0.7668161434977578,1.0,0.9957794777103667
0.7802690582959642,1.0,0.9957794777103667
0.8385650224215246,1.0,0.9957794777103667
1.0,1.0,0.9957794777103667
